#Clock	Room0	Room1	Room2	Room3	
1	0	0	0	0	
2	0	0	0	0	
3	0	0	0	0	
4	0	0	0	0	
5	0	0	0	0	
6	0	0	0	0	
7	0	0	0	0	
8	0	0	0	0	
9	0	0	0	0	
10	0	0	0	0	
11	0	0	0	0	
12	0	0	0	0	
13	0	0	0	0	
14	0	0	0	0	
15	0	0	0	0	
16	0	0	0	0	
17	0	0	0	0	
18	0	0	0	0	
19	0	0	0	0	
20	0	1	0	0	
21	0	1	0	0	
22	0	1	0	0	
23	0	1	0	0	
24	0	1	0	0	
25	0	1	0	0	
26	0	1	0	0	
27	0	1	0	0	
28	0	1	0	0	
29	0	2	0	0	
30	0	2	0	0	
31	0	2	0	0	
32	0	2	0	0	
33	0	2	0	0	
34	0	2	0	0	
35	0	2	0	0	
36	0	2	0	0	
37	0	2	0	0	
38	0	2	0	0	
39	0	2	0	0	
40	0	2	0	0	
41	0	2	0	0	
42	0	2	0	0	
43	0	2	0	0	
44	0	2	1	0	
45	0	2	1	0	
46	0	2	1	0	
47	0	3	1	0	
48	0	3	1	0	
49	0	3	1	0	
50	0	3	1	0	
51	0	3	1	0	
52	0	3	1	0	
53	0	3	1	0	
54	0	3	1	0	
55	0	3	1	0	
56	0	3	1	0	
57	0	3	1	0	
58	0	3	1	0	
59	0	3	1	0	
60	0	3	1	1	
61	0	3	1	1	
62	0	3	1	1	
63	0	3	1	1	
64	0	3	2	1	
65	0	3	2	1	
66	0	3	2	1	
67	0	3	2	1	
68	0	3	2	1	
69	0	3	2	1	
70	0	3	2	1	
71	0	3	2	1	
72	0	3	2	1	
73	0	3	2	1	
74	0	3	2	1	
75	0	3	2	1	
76	0	3	2	1	
77	0	3	2	1	
78	0	3	2	1	
79	0	3	2	1	
80	0	3	2	1	
81	0	3	3	1	
82	0	3	3	1	
83	0	3	3	1	
84	0	4	3	1	
85	0	4	3	1	
86	0	4	3	1	
87	0	4	3	1	
88	0	5	3	1	
89	0	5	3	2	
90	0	5	3	2	
91	0	5	3	2	
92	0	5	3	2	
93	0	5	3	2	
94	0	5	3	2	
95	0	5	3	2	
