#Clock	Room0	Room1	Room2	Room3	
1	0	0	0	0	
2	0	0	0	0	
3	0	0	0	0	
4	0	0	0	0	
5	0	0	0	0	
6	0	0	0	0	
7	0	0	0	0	
8	0	0	0	0	
9	0	0	0	0	
10	0	0	0	0	
11	0	0	0	0	
12	0	0	0	0	
13	0	0	0	0	
14	0	0	0	0	
15	0	0	0	0	
16	0	0	0	0	
17	0	0	0	0	
18	0	0	0	0	
19	0	0	0	0	
20	0	0	0	0	
21	0	0	0	0	
22	0	0	0	0	
23	0	0	0	0	
24	0	0	0	0	
25	0	0	0	0	
26	0	0	0	0	
27	0	0	0	0	
28	0	0	0	0	
29	0	0	0	0	
30	0	0	0	0	
31	0	0	0	0	
32	0	0	0	0	
33	0	0	0	0	
34	0	0	0	0	
35	0	0	0	0	
36	0	0	0	0	
37	0	0	0	0	
38	0	0	0	0	
39	0	0	0	0	
40	0	0	0	0	
41	0	0	0	0	
42	0	0	0	0	
43	0	0	0	0	
44	0	0	0	0	
45	0	0	0	0	
46	0	0	0	0	
47	0	0	0	0	
48	0	0	0	0	
49	0	0	0	0	
50	0	0	0	0	
51	0	0	0	0	
52	0	0	0	0	
53	0	0	0	0	
54	0	0	0	0	
55	0	0	0	0	
56	0	0	0	0	
57	0	0	0	0	
58	0	0	0	0	
59	0	0	0	0	
60	1	0	0	0	
61	1	0	0	0	
62	1	0	0	0	
63	1	0	0	0	
64	1	0	0	0	
65	1	0	0	0	
66	1	0	0	0	
67	1	0	0	0	
68	1	0	0	0	
69	1	0	0	0	
70	1	0	0	0	
71	1	0	0	0	
72	1	0	0	0	
73	1	1	1	0	
74	1	1	2	0	
75	1	1	2	0	
76	1	1	2	0	
77	1	1	2	1	
78	2	1	2	1	
79	2	1	2	1	
80	2	1	2	1	
81	2	1	2	1	
82	2	1	2	1	
83	2	1	2	1	
84	2	1	2	1	
85	2	1	2	1	
86	2	1	2	1	
87	2	1	2	1	
88	2	1	2	1	
89	3	1	2	1	
90	3	1	2	1	
91	3	1	2	1	
92	3	2	2	1	
93	3	2	2	1	
94	3	2	2	2	
95	3	2	2	2	
