#Clock	Room0	Room1	Room2	Room3	
1	0	0	0	0	
2	0	0	0	0	
3	0	0	0	0	
4	0	0	0	0	
5	0	0	0	0	
6	0	0	0	1	
7	0	0	0	1	
8	0	0	0	1	
9	0	0	0	1	
10	0	0	0	1	
11	0	0	0	1	
12	0	0	0	1	
13	0	0	0	1	
14	0	0	0	1	
15	0	0	1	1	
16	0	0	1	1	
17	0	0	1	1	
18	0	0	1	1	
19	0	0	1	1	
20	0	0	1	1	
21	0	0	1	1	
22	0	0	1	1	
23	0	0	1	1	
24	0	0	1	1	
25	0	0	1	1	
26	0	0	1	1	
27	0	0	1	1	
28	0	0	1	1	
29	0	0	1	1	
30	0	0	1	1	
31	0	0	1	1	
32	0	0	1	1	
33	0	0	1	1	
34	0	0	1	1	
35	0	0	1	1	
36	0	0	1	1	
37	0	0	1	1	
38	0	0	1	1	
39	0	0	1	1	
40	0	0	1	1	
41	0	0	1	1	
42	0	0	1	1	
43	0	0	1	1	
44	0	0	1	1	
45	0	0	1	1	
46	0	0	1	1	
47	0	0	1	1	
48	0	0	1	1	
49	0	0	1	1	
50	0	0	1	1	
51	0	0	1	1	
52	0	0	1	1	
53	0	0	1	1	
54	0	0	1	1	
55	0	0	1	1	
56	0	0	1	1	
57	0	0	1	1	
58	0	0	1	1	
59	0	0	1	1	
60	0	0	1	1	
61	0	0	1	1	
62	0	0	2	1	
63	0	0	2	1	
64	0	0	2	1	
65	0	0	2	1	
66	0	0	2	1	
67	0	0	2	1	
68	0	0	2	2	
69	0	0	2	2	
70	0	0	2	2	
71	0	0	2	2	
72	0	0	2	2	
73	0	0	2	2	
74	0	0	2	2	
75	0	0	2	2	
76	0	0	2	2	
77	0	0	2	2	
78	0	0	2	2	
79	0	1	2	2	
80	0	1	2	2	
81	0	1	2	3	
82	0	1	3	3	
83	0	1	3	3	
84	0	1	3	3	
85	0	1	3	3	
86	0	1	3	3	
87	0	1	4	3	
88	1	1	4	3	
89	1	2	4	3	
90	1	2	4	3	
91	1	2	4	3	
92	1	2	4	4	
93	1	2	4	4	
94	1	2	4	4	
95	1	2	4	4	
