#Clock	Room0	Room1	Room2	Room3	
1	0	0	0	0	
2	0	0	0	0	
3	0	0	0	0	
4	0	0	0	0	
5	0	0	0	0	
6	0	0	0	0	
7	0	0	0	0	
8	0	0	0	0	
9	0	0	0	0	
10	0	0	0	0	
11	0	0	0	0	
12	0	0	0	0	
13	0	0	0	0	
14	0	0	0	0	
15	0	0	0	0	
16	0	0	0	0	
17	0	0	0	0	
18	0	0	0	0	
19	0	0	0	0	
20	0	0	0	0	
21	0	0	0	0	
22	0	0	0	0	
23	0	0	0	0	
24	0	0	0	0	
25	0	0	0	0	
26	0	0	0	0	
27	0	0	0	0	
28	0	0	0	0	
29	0	0	0	0	
30	0	0	0	0	
31	0	0	0	0	
32	0	0	0	0	
33	0	0	0	0	
34	0	0	0	0	
35	0	0	0	0	
36	0	0	0	0	
37	0	0	0	0	
38	0	0	0	0	
39	0	0	0	0	
40	0	0	0	0	
41	0	0	0	0	
42	0	0	0	0	
43	0	0	0	0	
44	0	0	0	0	
45	0	0	0	0	
46	0	0	0	0	
47	0	0	0	0	
48	0	0	0	0	
49	0	0	0	0	
50	0	0	0	0	
51	0	0	0	0	
52	0	0	0	0	
53	0	0	0	0	
54	0	0	0	0	
55	0	0	0	0	
56	0	0	0	1	
57	0	0	0	2	
58	0	0	0	2	
59	0	0	0	2	
60	0	0	0	2	
61	0	0	0	2	
62	0	0	0	2	
63	0	0	0	2	
64	0	0	0	2	
65	0	0	0	2	
66	0	0	0	2	
67	0	0	0	2	
68	0	0	0	2	
69	1	0	0	2	
70	1	0	0	2	
71	1	0	0	3	
72	1	1	0	3	
73	1	1	0	3	
74	1	1	0	3	
75	2	1	0	4	
76	2	1	0	4	
77	2	1	0	4	
78	2	1	0	4	
79	2	1	0	4	
80	2	1	0	4	
81	2	1	0	4	
82	2	1	0	4	
83	2	1	0	4	
84	2	1	0	5	
85	3	1	0	5	
86	3	1	0	5	
87	3	1	0	5	
88	3	1	0	5	
89	3	1	0	5	
90	3	1	1	5	
91	3	1	1	5	
92	4	1	1	5	
93	4	1	1	5	
94	4	1	1	5	
95	4	1	1	5	
