#Clock	Room0	Room1	Room2	Room3	
1	0	0	0	0	
2	0	0	0	0	
3	0	0	0	0	
4	0	0	0	0	
5	0	0	0	0	
6	0	0	0	0	
7	0	0	0	0	
8	0	0	0	0	
9	0	0	0	0	
10	0	0	0	0	
11	0	0	0	0	
12	0	0	0	0	
13	0	0	0	0	
14	0	0	0	0	
15	1	0	0	0	
16	1	0	0	0	
17	1	0	0	0	
18	1	0	0	0	
19	1	0	0	0	
20	1	0	0	0	
21	1	0	0	0	
22	1	0	0	0	
23	1	0	0	0	
24	1	0	0	0	
25	1	0	0	0	
26	1	0	0	0	
27	1	0	0	0	
28	1	0	0	0	
29	1	0	0	0	
30	1	0	0	0	
31	1	0	0	0	
32	1	0	0	0	
33	1	0	0	0	
34	1	0	0	0	
35	1	0	0	0	
36	1	0	0	0	
37	1	0	0	0	
38	1	0	0	0	
39	1	0	0	0	
40	1	0	0	0	
41	1	0	0	0	
42	1	0	0	0	
43	1	0	0	0	
44	1	0	0	0	
45	1	0	0	0	
46	1	0	0	0	
47	1	0	0	0	
48	1	0	0	0	
49	1	0	0	0	
50	1	0	0	0	
51	1	0	0	0	
52	1	0	0	0	
53	1	0	0	0	
54	1	0	0	0	
55	1	0	0	0	
56	1	0	0	0	
57	1	0	0	0	
58	1	0	0	0	
59	1	0	0	0	
60	1	0	0	0	
61	1	0	0	0	
62	1	0	0	0	
63	2	1	0	0	
64	2	1	0	0	
65	2	1	0	0	
66	2	1	1	0	
67	2	1	1	0	
68	2	1	1	0	
69	2	1	2	0	
70	2	1	2	0	
71	2	1	2	0	
72	2	1	2	0	
73	2	1	2	0	
74	2	1	2	0	
75	3	1	2	0	
76	3	1	2	0	
77	3	2	2	0	
78	3	2	2	0	
79	4	2	2	0	
80	4	2	2	0	
81	4	2	2	0	
82	4	2	2	0	
83	4	2	2	0	
84	4	2	2	1	
85	4	2	2	1	
86	4	2	3	1	
87	4	2	3	1	
88	4	2	3	1	
89	4	2	3	1	
90	4	2	3	1	
91	4	2	3	1	
92	4	2	3	1	
93	4	2	3	1	
94	4	2	3	1	
95	4	2	3	1	
